,Site,OrdinalDate,Species,Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,GDD,total,DI,year
164,Chaut,147,Melanoplus confusus,3,2,1,0,0,0,NA,6,1.666666667,2009
165,Chaut,154,Melanoplus confusus,0,0,2,3,0,0,NA,5,3.6,2009
166,Chaut,161,Melanoplus confusus,1,1,1,0,1,0,NA,4,2.75,2009
167,Chaut,168,Melanoplus confusus,0,0,1,2,0,1,NA,4,4.25,2009
253,Chaut,126,Melanoplus confusus,3,1,0,0,0,0,NA,4,1.25,2010
254,Chaut,139,Melanoplus confusus,3,2,0,0,0,0,NA,5,1.4,2010
255,Chaut,143,Melanoplus confusus,3,2,0,0,0,0,NA,5,1.4,2010
256,Chaut,157,Melanoplus confusus,0,1,2,3,2,0,NA,8,3.75,2010
257,Chaut,165,Melanoplus confusus,0,0,6,5,5,0,NA,16,3.9375,2010
258,Chaut,182,Melanoplus confusus,0,0,3,0,1,0,NA,4,3.5,2010
259,Chaut,187,Melanoplus confusus,0,0,2,2,3,1,NA,8,4.375,2010
260,Chaut,195,Melanoplus confusus,0,0,0,2,3,3,NA,8,5.125,2010
337,Chaut,133,Melanoplus confusus,28,12,0,0,0,0,NA,40,1.3,2011
338,Chaut,140,Melanoplus confusus,8,3,0,0,0,0,NA,11,1.272727273,2011
339,Chaut,148,Melanoplus confusus,8,3,3,0,0,0,NA,14,1.642857143,2011
340,Chaut,176,Melanoplus confusus,0,0,1,5,4,0,NA,10,4.3,2011
432,Chaut,169,Melanoplus dawsoni,8,1,0,0,0,0,342.325,9,1.111111111,1959
433,Chaut,176,Melanoplus dawsoni,1,8,9,7,0,0,414.237,25,2.88,1959
434,Chaut,190,Melanoplus dawsoni,0,1,4,10,10,0,536.982,25,4.16,1959
435,Chaut,197,Melanoplus dawsoni,0,0,3,2,1,2,600.442,8,4.25,1959
436,Chaut,204,Melanoplus dawsoni,0,1,0,0,3,5,665.66,9,5.222222222,1959
437,Chaut,210,Melanoplus dawsoni,0,0,0,0,0,9,732.657,9,6,1959
438,Chaut,219,Melanoplus dawsoni,0,0,2,0,0,4,819.797,6,5,1959
439,Chaut,225,Melanoplus dawsoni,0,0,0,0,0,6,887.552,6,6,1959
440,Chaut,233,Melanoplus dawsoni,0,0,0,0,0,5,964.394,5,6,1959
441,Chaut,239,Melanoplus dawsoni,0,0,0,0,0,14,1026.25,14,6,1959
442,Chaut,245,Melanoplus dawsoni,0,0,0,0,0,4,1080.62,4,6,1959
443,Chaut,253,Melanoplus dawsoni,0,0,0,0,0,1,1158.59,1,6,1959
444,Chaut,261,Melanoplus dawsoni,0,0,0,0,0,10,1200.71,10,6,1959
445,Chaut,281,Melanoplus dawsoni,0,0,0,0,0,6,1234.31,6,6,1959
553,Chaut,150,Melanoplus dawsoni,1,0,0,0,0,0,228.962,1,1,1960
554,Chaut,155,Melanoplus dawsoni,2,0,0,0,0,0,277.867,2,1,1960
555,Chaut,159,Melanoplus dawsoni,3,3,0,0,0,0,309.144,6,1.5,1960
556,Chaut,162,Melanoplus dawsoni,1,2,1,0,0,0,323.502,4,2,1960
557,Chaut,165,Melanoplus dawsoni,1,1,1,0,0,0,339.102,3,2,1960
558,Chaut,168,Melanoplus dawsoni,0,4,7,0,0,0,365.049,11,2.636363636,1960
559,Chaut,172,Melanoplus dawsoni,1,2,2,1,0,0,415.467,6,2.5,1960
560,Chaut,175,Melanoplus dawsoni,2,1,3,2,0,0,441.687,8,2.625,1960
561,Chaut,179,Melanoplus dawsoni,1,2,6,4,3,0,484.912,16,3.375,1960
562,Chaut,182,Melanoplus dawsoni,0,0,1,2,0,0,525.017,3,3.666666667,1960
563,Chaut,186,Melanoplus dawsoni,0,5,3,1,5,1,566.37,15,3.6,1960
564,Chaut,189,Melanoplus dawsoni,1,0,0,2,0,0,582.672,3,3,1960
565,Chaut,193,Melanoplus dawsoni,0,3,9,4,5,1,631.503,22,3.636363636,1960
566,Chaut,196,Melanoplus dawsoni,0,1,0,3,0,1,656.668,5,4,1960
567,Chaut,200,Melanoplus dawsoni,0,0,8,9,7,7,700.777,31,4.419354839,1960
568,Chaut,207,Melanoplus dawsoni,0,0,0,2,2,5,789.496,9,5.333333333,1960
569,Chaut,210,Melanoplus dawsoni,0,0,0,0,1,4,835.494,5,5.8,1960
570,Chaut,215,Melanoplus dawsoni,0,0,0,0,2,2,898.772,4,5.5,1960
571,Chaut,224,Melanoplus dawsoni,0,0,0,1,1,7,992.262,9,5.666666667,1960
572,Chaut,231,Melanoplus dawsoni,0,0,0,0,0,4,1059.92,4,6,1960
573,Chaut,237,Melanoplus dawsoni,0,0,0,0,0,5,1127.06,5,6,1960
574,Chaut,244,Melanoplus dawsoni,0,0,0,0,0,4,1203.12,4,6,1960
575,Chaut,258,Melanoplus dawsoni,0,0,0,0,0,6,1337,6,6,1960
40,Chaut,150,Melanoplus dawsoni,1,2,0,0,0,0,221.926,3,1.666666667,2007
41,Chaut,155,Melanoplus dawsoni,1,3,0,0,0,0,243.924,4,1.75,2007
42,Chaut,164,Melanoplus dawsoni,0,2,5,2,0,0,300.317,9,3,2007
43,Chaut,169,Melanoplus dawsoni,0,0,1,9,1,0,349.169,11,4,2007
44,Chaut,176,Melanoplus dawsoni,2,2,0,2,0,0,428.915,6,2.333333333,2007
45,Chaut,184,Melanoplus dawsoni,0,0,2,4,7,0,513.992,13,4.384615385,2007
46,Chaut,190,Melanoplus dawsoni,0,0,7,4,1,0,581.159,12,3.5,2007
47,Chaut,197,Melanoplus dawsoni,0,4,6,3,0,9,655.511,22,4.181818182,2007
48,Chaut,204,Melanoplus dawsoni,0,0,5,0,1,7,749.844,13,4.769230769,2007
49,Chaut,211,Melanoplus dawsoni,0,0,0,1,0,9,827.511,10,5.8,2007
77,Chaut,151,Melanoplus dawsoni,4,0,0,0,0,0,180.291,4,1,2008
82,Chaut,156,Melanoplus dawsoni,7,3,0,0,0,0,212.24,10,1.3,2008
88,Chaut,161,Melanoplus dawsoni,33,14,7,2,0,0,228.534,56,1.607142857,2008
92,Chaut,167,Melanoplus dawsoni,26,25,18,4,1,0,267.858,74,2.040540541,2008
97,Chaut,172,Melanoplus dawsoni,3,7,16,8,5,0,307.618,39,3.128205128,2008
101,Chaut,178,Melanoplus dawsoni,2,4,3,4,5,0,364.386,18,3.333333333,2008
106,Chaut,185,Melanoplus dawsoni,4,3,2,11,3,0,428.152,23,3.260869565,2008
111,Chaut,190,Melanoplus dawsoni,0,0,1,5,5,1,482.06,12,4.5,2008
116,Chaut,196,Melanoplus dawsoni,0,1,0,10,11,10,548.202,32,4.90625,2008
126,Chaut,230,Melanoplus dawsoni,0,0,0,0,2,11,929.834,13,5.846153846,2008
168,Chaut,154,Melanoplus dawsoni,2,0,0,0,0,0,NA,2,1,2009
169,Chaut,161,Melanoplus dawsoni,37,9,0,0,0,0,NA,46,1.195652174,2009
170,Chaut,168,Melanoplus dawsoni,18,17,4,0,0,0,NA,39,1.641025641,2009
171,Chaut,177,Melanoplus dawsoni,5,3,4,2,0,0,NA,14,2.214285714,2009
172,Chaut,183,Melanoplus dawsoni,0,4,10,7,1,0,NA,22,3.227272727,2009
173,Chaut,191,Melanoplus dawsoni,2,6,6,5,1,0,NA,20,2.85,2009
174,Chaut,197,Melanoplus dawsoni,0,0,2,5,6,0,NA,13,4.307692308,2009
175,Chaut,203,Melanoplus dawsoni,0,0,1,1,2,8,NA,12,5.416666667,2009
176,Chaut,210,Melanoplus dawsoni,0,0,1,1,2,8,NA,12,5.416666667,2009
261,Chaut,165,Melanoplus dawsoni,4,1,0,0,0,0,NA,5,1.2,2010
262,Chaut,169,Melanoplus dawsoni,7,3,0,0,0,0,NA,10,1.3,2010
263,Chaut,176,Melanoplus dawsoni,3,9,4,0,0,0,NA,16,2.0625,2010
264,Chaut,182,Melanoplus dawsoni,2,5,13,1,0,0,NA,21,2.619047619,2010
265,Chaut,187,Melanoplus dawsoni,3,6,5,13,0,0,NA,27,3.037037037,2010
266,Chaut,195,Melanoplus dawsoni,0,1,5,4,0,0,NA,10,3.3,2010
267,Chaut,201,Melanoplus dawsoni,0,0,2,5,1,0,NA,8,3.875,2010
268,Chaut,209,Melanoplus dawsoni,0,0,0,3,5,0,NA,8,4.625,2010
269,Chaut,217,Melanoplus dawsoni,0,0,0,0,2,4,NA,6,5.666666667,2010
341,Chaut,158,Melanoplus dawsoni,3,0,0,0,0,0,NA,3,1,2011
342,Chaut,169,Melanoplus dawsoni,9,4,1,0,0,0,NA,14,1.428571429,2011
343,Chaut,176,Melanoplus dawsoni,6,2,2,1,0,0,NA,11,1.818181818,2011
344,Chaut,183,Melanoplus dawsoni,0,2,3,4,5,0,NA,14,3.857142857,2011
345,Chaut,190,Melanoplus dawsoni,0,0,0,0,8,0,NA,8,5,2011
346,Chaut,197,Melanoplus dawsoni,0,0,0,2,5,2,NA,9,5,2011
347,Chaut,203,Melanoplus dawsoni,0,0,1,1,2,2,NA,6,4.833333333,2011
446,Chaut,219,Melanoplus femurrubrum,0,0,0,0,1,0,819.797,1,5,1959
447,Chaut,225,Melanoplus femurrubrum,0,0,0,1,0,0,887.552,1,4,1959
448,Chaut,239,Melanoplus femurrubrum,0,0,0,0,1,0,1026.25,1,5,1959
576,Chaut,172,Melanoplus femurrubrum,2,0,0,0,0,0,415.467,2,1,1960
577,Chaut,179,Melanoplus femurrubrum,2,1,0,0,0,0,484.912,3,1.333333333,1960
578,Chaut,224,Melanoplus femurrubrum,0,0,0,0,3,0,992.262,3,5,1960
579,Chaut,231,Melanoplus femurrubrum,0,0,0,1,1,0,1059.92,2,4.5,1960
50,Chaut,190,Melanoplus femurrubrum,2,3,0,0,0,0,581.159,5,1.6,2007
51,Chaut,197,Melanoplus femurrubrum,30,26,7,0,0,0,655.511,63,1.634920635,2007
52,Chaut,204,Melanoplus femurrubrum,5,10,6,1,0,0,749.844,22,2.136363636,2007
53,Chaut,211,Melanoplus femurrubrum,1,8,9,2,4,0,827.511,24,3,2007
54,Chaut,216,Melanoplus femurrubrum,2,7,10,4,12,0,884.455,35,3.485714286,2007
55,Chaut,226,Melanoplus femurrubrum,0,1,5,16,14,0,1006.96,36,4.194444444,2007
56,Chaut,232,Melanoplus femurrubrum,0,0,1,5,11,12,1074.4,29,5.172413793,2007
57,Chaut,241,Melanoplus femurrubrum,0,0,0,3,15,2,1164.2,20,4.95,2007
58,Chaut,249,Melanoplus femurrubrum,0,0,0,0,5,19,1246.29,24,5.791666667,2007
59,Chaut,261,Melanoplus femurrubrum,0,0,0,1,0,18,1312.03,19,5.894736842,2007
102,Chaut,178,Melanoplus femurrubrum,4,3,1,0,0,0,364.386,8,1.625,2008
107,Chaut,185,Melanoplus femurrubrum,0,1,5,1,0,0,428.152,7,3,2008
112,Chaut,190,Melanoplus femurrubrum,14,2,3,0,0,0,482.06,19,1.421052632,2008
117,Chaut,196,Melanoplus femurrubrum,7,3,5,2,0,0,548.202,17,2.117647059,2008
120,Chaut,206,Melanoplus femurrubrum,4,6,3,2,0,0,680.147,15,2.2,2008
122,Chaut,212,Melanoplus femurrubrum,0,0,7,1,0,0,756.48,8,3.125,2008
124,Chaut,220,Melanoplus femurrubrum,0,1,2,0,3,0,855.758,6,3.833333333,2008
127,Chaut,230,Melanoplus femurrubrum,0,3,7,4,3,0,929.834,17,3.411764706,2008
129,Chaut,240,Melanoplus femurrubrum,0,0,1,3,4,1,1018.63,9,4.555555556,2008
131,Chaut,247,Melanoplus femurrubrum,0,0,0,0,2,1,1069.9,3,5.333333333,2008
132,Chaut,259,Melanoplus femurrubrum,0,1,0,2,0,2,1107.85,5,4.4,2008
133,Chaut,263,Melanoplus femurrubrum,0,1,4,1,0,7,1130.88,13,4.615384615,2008
134,Chaut,288,Melanoplus femurrubrum,0,0,0,1,1,5,1231.5,7,5.571428571,2008
177,Chaut,168,Melanoplus femurrubrum,1,0,0,0,0,0,NA,1,1,2009
178,Chaut,183,Melanoplus femurrubrum,6,0,0,0,0,0,NA,6,1,2009
179,Chaut,191,Melanoplus femurrubrum,4,5,0,0,0,0,NA,9,1.555555556,2009
180,Chaut,197,Melanoplus femurrubrum,3,5,0,0,0,0,NA,8,1.625,2009
181,Chaut,203,Melanoplus femurrubrum,1,17,6,2,0,0,NA,26,2.346153846,2009
182,Chaut,210,Melanoplus femurrubrum,0,8,3,2,2,0,NA,15,2.866666667,2009
183,Chaut,218,Melanoplus femurrubrum,0,5,17,3,0,0,NA,25,2.92,2009
184,Chaut,228,Melanoplus femurrubrum,0,0,1,6,1,0,NA,8,4,2009
185,Chaut,235,Melanoplus femurrubrum,0,0,0,3,3,0,NA,6,4.5,2009
186,Chaut,242,Melanoplus femurrubrum,0,0,0,0,3,0,NA,3,5,2009
270,Chaut,195,Melanoplus femurrubrum,7,2,0,0,0,0,NA,9,1.222222222,2010
271,Chaut,201,Melanoplus femurrubrum,1,7,5,1,0,0,NA,14,2.428571429,2010
272,Chaut,209,Melanoplus femurrubrum,0,2,3,3,1,0,NA,9,3.333333333,2010
273,Chaut,217,Melanoplus femurrubrum,0,1,8,5,0,0,NA,14,3.285714286,2010
274,Chaut,225,Melanoplus femurrubrum,0,1,5,2,0,0,NA,8,3.125,2010
275,Chaut,236,Melanoplus femurrubrum,0,0,5,3,5,0,NA,13,4,2010
276,Chaut,240,Melanoplus femurrubrum,0,0,0,2,4,2,NA,8,5,2010
348,Chaut,183,Melanoplus femurrubrum,3,0,0,0,0,0,NA,3,1,2011
349,Chaut,190,Melanoplus femurrubrum,1,2,0,0,0,0,NA,3,1.666666667,2011
350,Chaut,197,Melanoplus femurrubrum,0,3,0,0,0,0,NA,3,2,2011
351,Chaut,203,Melanoplus femurrubrum,3,2,0,0,0,0,NA,5,1.4,2011
352,Chaut,209,Melanoplus femurrubrum,0,0,6,1,0,0,NA,7,3.142857143,2011
353,Chaut,216,Melanoplus femurrubrum,0,0,2,3,0,0,NA,5,3.6,2011
354,Chaut,223,Melanoplus femurrubrum,0,0,2,1,0,0,NA,3,3.333333333,2011
355,Chaut,230,Melanoplus femurrubrum,0,0,4,3,0,0,NA,7,3.428571429,2011
356,Chaut,239,Melanoplus femurrubrum,0,0,3,1,1,0,NA,5,3.6,2011
449,Chaut,169,Melanoplus sanguinipes,2,7,11,2,2,0,342.325,24,2.791666667,1959
450,Chaut,190,Melanoplus sanguinipes,0,1,3,6,21,8,536.982,39,4.820512821,1959
451,Chaut,197,Melanoplus sanguinipes,0,0,1,3,6,15,600.442,25,5.4,1959
452,Chaut,204,Melanoplus sanguinipes,0,0,0,0,1,17,665.66,18,5.944444444,1959
453,Chaut,210,Melanoplus sanguinipes,0,0,0,0,1,22,732.657,23,5.956521739,1959
454,Chaut,219,Melanoplus sanguinipes,0,0,0,0,0,14,819.797,14,6,1959
455,Chaut,225,Melanoplus sanguinipes,0,0,0,1,0,44,887.552,45,5.955555556,1959
456,Chaut,233,Melanoplus sanguinipes,0,0,0,0,0,12,964.394,12,6,1959
457,Chaut,239,Melanoplus sanguinipes,0,0,0,0,0,12,1026.25,12,6,1959
458,Chaut,245,Melanoplus sanguinipes,0,0,0,0,0,1,1080.62,1,6,1959
459,Chaut,253,Melanoplus sanguinipes,0,0,0,0,0,8,1158.59,8,6,1959
460,Chaut,262,Melanoplus sanguinipes,0,0,0,0,0,12,1206.41,12,6,1959
461,Chaut,281,Melanoplus sanguinipes,0,0,0,0,0,2,1234.31,2,6,1959
580,Chaut,155,Melanoplus sanguinipes,0,0,0,1,0,0,277.867,1,4,1960
581,Chaut,159,Melanoplus sanguinipes,2,6,9,2,1,0,309.144,20,2.7,1960
582,Chaut,162,Melanoplus sanguinipes,1,2,4,3,0,0,323.502,10,2.9,1960
583,Chaut,165,Melanoplus sanguinipes,1,1,5,1,0,0,339.102,8,2.75,1960
584,Chaut,168,Melanoplus sanguinipes,1,4,8,2,0,0,365.049,15,2.733333333,1960
585,Chaut,172,Melanoplus sanguinipes,1,2,1,2,1,0,415.467,7,3,1960
586,Chaut,175,Melanoplus sanguinipes,0,2,1,0,2,0,441.687,5,3.4,1960
587,Chaut,179,Melanoplus sanguinipes,0,0,3,2,0,1,484.912,6,3.833333333,1960
588,Chaut,182,Melanoplus sanguinipes,0,0,0,1,4,0,525.017,5,4.8,1960
589,Chaut,186,Melanoplus sanguinipes,0,0,1,0,2,4,566.37,7,5.285714286,1960
590,Chaut,189,Melanoplus sanguinipes,0,0,0,1,3,1,582.672,5,5,1960
591,Chaut,193,Melanoplus sanguinipes,0,0,0,0,1,3,631.503,4,5.75,1960
592,Chaut,196,Melanoplus sanguinipes,0,0,2,1,1,5,656.668,9,5,1960
593,Chaut,200,Melanoplus sanguinipes,0,0,1,2,2,10,700.777,15,5.4,1960
594,Chaut,203,Melanoplus sanguinipes,0,0,0,1,4,3,737.609,8,5.25,1960
595,Chaut,207,Melanoplus sanguinipes,0,0,3,3,2,17,789.496,25,5.32,1960
596,Chaut,210,Melanoplus sanguinipes,0,0,0,7,3,33,835.494,43,5.604651163,1960
597,Chaut,215,Melanoplus sanguinipes,0,0,1,0,3,11,898.772,15,5.6,1960
598,Chaut,224,Melanoplus sanguinipes,0,0,0,0,5,25,992.262,30,5.833333333,1960
599,Chaut,231,Melanoplus sanguinipes,0,0,0,0,0,10,1059.92,10,6,1960
600,Chaut,237,Melanoplus sanguinipes,0,0,0,0,0,5,1127.06,5,6,1960
601,Chaut,244,Melanoplus sanguinipes,0,0,0,0,0,9,1203.12,9,6,1960
602,Chaut,258,Melanoplus sanguinipes,0,0,0,0,0,2,1337,2,6,1960
603,Chaut,271,Melanoplus sanguinipes,0,0,0,0,0,3,1401.97,3,6,1960
60,Chaut,164,Melanoplus sanguinipes,3,2,0,0,0,0,300.317,5,1.4,2007
61,Chaut,169,Melanoplus sanguinipes,1,0,2,1,0,0,349.169,4,2.75,2007
62,Chaut,176,Melanoplus sanguinipes,0,0,4,0,1,0,428.915,5,3.4,2007
63,Chaut,184,Melanoplus sanguinipes,0,0,3,1,3,0,513.992,7,4,2007
64,Chaut,190,Melanoplus sanguinipes,0,0,0,1,5,2,581.159,8,5.125,2007
65,Chaut,197,Melanoplus sanguinipes,0,0,1,1,4,4,655.511,10,5.1,2007
66,Chaut,204,Melanoplus sanguinipes,0,0,3,1,0,0,749.844,4,3.25,2007
67,Chaut,211,Melanoplus sanguinipes,0,0,0,0,2,5,827.511,7,5.714285714,2007
83,Chaut,156,Melanoplus sanguinipes,2,0,0,0,0,0,212.24,2,1,2008
93,Chaut,167,Melanoplus sanguinipes,0,0,1,1,0,0,267.858,2,3.5,2008
98,Chaut,172,Melanoplus sanguinipes,0,0,1,1,0,0,307.618,2,3.5,2008
103,Chaut,178,Melanoplus sanguinipes,0,0,2,0,0,0,364.386,2,3,2008
108,Chaut,185,Melanoplus sanguinipes,0,0,2,4,3,5,428.152,14,4.785714286,2008
113,Chaut,190,Melanoplus sanguinipes,0,0,0,0,1,1,482.06,2,5.5,2008
118,Chaut,196,Melanoplus sanguinipes,0,0,0,1,5,5,548.202,11,5.363636364,2008
187,Chaut,168,Melanoplus sanguinipes,0,4,3,0,0,0,NA,7,2.428571429,2009
188,Chaut,177,Melanoplus sanguinipes,0,0,0,0,0,0,NA,0,NA,2009
189,Chaut,183,Melanoplus sanguinipes,0,0,0,1,1,2,NA,4,5.25,2009
190,Chaut,191,Melanoplus sanguinipes,0,0,0,2,1,0,NA,3,4.333333333,2009
191,Chaut,197,Melanoplus sanguinipes,0,0,0,1,2,5,NA,8,5.5,2009
192,Chaut,203,Melanoplus sanguinipes,0,0,0,0,2,4,NA,6,5.666666667,2009
193,Chaut,210,Melanoplus sanguinipes,0,0,0,0,2,3,NA,5,5.6,2009
277,Chaut,150,Melanoplus sanguinipes,0,1,3,1,0,0,NA,5,3,2010
278,Chaut,201,Melanoplus sanguinipes,0,1,0,3,3,0,NA,7,4.142857143,2010
279,Chaut,209,Melanoplus sanguinipes,0,2,2,4,7,0,NA,15,4.066666667,2010
280,Chaut,236,Melanoplus sanguinipes,0,0,0,0,1,23,NA,24,5.958333333,2010
357,Chaut,158,Melanoplus sanguinipes,6,5,6,0,0,0,NA,17,2,2011
358,Chaut,169,Melanoplus sanguinipes,3,4,5,3,0,0,NA,15,2.533333333,2011
359,Chaut,176,Melanoplus sanguinipes,1,1,4,0,0,0,NA,6,2.5,2011
360,Chaut,183,Melanoplus sanguinipes,0,0,7,4,6,0,NA,17,3.941176471,2011
361,Chaut,190,Melanoplus sanguinipes,0,0,2,2,3,2,NA,9,4.555555556,2011
362,Chaut,197,Melanoplus sanguinipes,0,0,1,4,7,9,NA,21,5.142857143,2011
363,Chaut,203,Melanoplus sanguinipes,0,0,0,0,1,14,NA,15,5.933333333,2011
364,Chaut,223,Melanoplus sanguinipes,0,0,0,0,1,65,NA,66,5.984848485,2011
